User_ID,Age,FName,LName ,DOB,User_Type ,PinCode,Street Number
USR_001,NULL,  Ajit,Ullal,1971-01-01,PSGR,560001,10 Janpath
USR_002,NULL,Muhammed ,Ali,2000-10-09,PSGR,560003,10 Downing
USR_003,NULL,Sai Deepak,Reddy,1996-12-12,PSGR,600001,14 Kailsh Marg
USR_004,NULL,Rudra,Agarwal,1996-12-13,PSGR,600042,5 Lohia Garden
USR_005,NULL,Rahul,Khanna,1997-12-14,PSGR,600067,1 Pink Street
USR_006,NULL,Nirmala,Seturaman,1998-12-15,PSGR,560105,3 Blue Avenue
USR_007,NULL,Smriti,Irani,1999-12-16,PSGR,575014,4 Banyan Avenie
USR_008,NULL,Ajit,Sethi,1966-04-14,PSGR,575001,6 Poes Garden
USR_009,NULL,Arjun,Allu,1967-04-08,PSGR,575020,7 Dhamaka street
USR_010,NULL,Samanta,Prabhu,1968-04-14,PSGR,600042,8 Clone Colony
USR_011,NULL,Kiran ,Bedi,1969-04-14,PSGR,560003,56 Brigade Road
USR_012,NULL,Rahul ,Gandhi,1970-04-08,PSGR,475001,Mirza road
USR_013,NULL,Rashkit ,Shetty,1971-04-14,PSGR,560009,JC Road
USR_014,NULL,Rishi,Sunak,1972-04-14,PSGR,600034,Anna Sali
USR_015,NULL,Vedavalli,Srinath,1973-04-14,PSGR,560054,Church Street Bangalore
USR_016,NULL,Subbu,Saravana,1974-04-14,PSGR,600043,American Street
USR_017,NULL,Sheela,Dixit,1975-04-08,PSGR,560048,Kasturba Road
USR_018,NULL,Margaret,Alva,1976-04-14,PSGR,560008,New BEL Road
USR_019,NULL,Arun,Kumar,1977-04-14,PSGR,600046,Mint Street
USR_020,NULL,Anshu,Bhardwaj,1978-04-14,PSGR,575001,KSR Road
USR_021,NULL,Suma,Sampat,1979-04-08,PSGR,560012,Old Airport Road Bangalore
USR_022,NULL,Srihari,Udupa,1980-04-14,PSGR,560015,Suranjan Das Road
USR_023,NULL,Satish,Kotian,1981-04-14,PSGR,600044,T Nagar
USR_024,NULL,Shradha,Nayar,1982-04-08,PSGR,560006,M G Road Bangalore
USR_025,NULL,Manisha,Solanki,1983-04-08,PSGR,575030,M G Road
USR_026,NULL,Bharti,Devgan,1984-04-14,PSGR,560059,NAL Wind Tunnel Road
USR_027,NULL,Roopa,Ram,1985-04-14,PSGR,575023,Bunder Road
USR_028,NULL,Pallavi,Ram,1986-04-08,PSGR,560044,Lavelle Road
USR_029,NULL,Ravi,Naik,1987-04-14,PSGR,600045,Thiru V ka Salai
USR_030,NULL,Virat,Murthy,1988-04-14,PSGR,575011,Bejai New Road
ADM_001,NULL,Narendra ,Modi,1989-04-14,ADMIN,600047,Old Jail Road
ADM_002,NULL,Droupadi,Murmu,1990-04-14,ADMIN,640012,High Street
ADM_003,NULL,Manmohan ,Singh,1991-04-08,ADMIN,575003,Pumpwell Road
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
